<<<<<<< HEAD
Algoritmos	bb	ww	Tempo de Execucao
NSGAII	-27.259111160841808	20.121585547867923	300
NSGAII	-25.453598266940475	0.056716530078275706	300
NSGAII	-24.153857798294897	-3.1022661616391733	300
NSGAII	-23.82037814647675	-10.21495757941638	300
NSGAII	-26.64220076155113	7.856341778901475	300
NSGAII	-26.45092896785362	0.5496684517926977	300
NSGAII	-21.781590191792695	-11.657935901267022	300
NSGAII	-24.100467022422876	-4.091756606916446	300
NSGAII	-24.577410074220737	-2.917521219265092	300
SMSEMOA	-24.153857798294897	-3.1022661616391733	300
SMSEMOA	-27.517947607048033	17.752111885027524	300
SMSEMOA	-25.885256622003187	1.1563188576237842	300
SMSEMOA	-26.780116712836197	10.423420788997568	300
SMSEMOA	-26.149751709038227	9.763116278012998	300
SMSEMOA	-25.68094977395161	-2.4476290899969784	300
SMSEMOA	-24.016681529864364	-7.775652941257521	300
SMSEMOA	-27.259111160841808	20.121585547867923	300
SMSEMOA	-26.375954451564247	11.585549717753622	300
SMSEMOA	-26.63375484309806	18.347716261568728	300
SMSEMOA	-25.453598266940475	0.056716530078275706	300
SMSEMOA	-24.101456140412125	-1.3440103078210286	300
SMSEMOA	-25.592499687433936	6.19291921876278	300
SMSEMOA	-24.807215326056454	-0.48941775377051044	300
SMSEMOA	-23.07396886663357	-5.373627066740159	300
SMSEMOA	-20.725740607609133	-6.0773373399374915	300
SMSEMOA	-23.908307118541245	-2.496917000157146	300
SMSEMOA	-22.076730927934555	-6.041097661025276	300
SMSEMOA	-26.353596258758827	14.790655913085821	300
SMSEMOA	-25.736731777221266	12.662352603113609	300
SMSEMOA	-26.561384544714336	20.54187148652712	300
SMSEMOA	-25.17303577359187	5.025373465737029	300
SMSEMOA	-25.30381048436954	7.8522844966219285	300
SMSEMOA	-25.428752391507345	9.627960210669137	300
SMSEMOA	-24.13407220993573	0.6535009413701269	300
SMSEMOA	-24.73173363536936	4.2260540643780535	300
SMSEMOA	-24.69467613785674	2.2150787243988557	300
SMSEMOA	-22.45164281633643	-4.89383954743648	300
SMSEMOA	-22.93986947226694	-2.571701965342438	300
SMSEMOA	-23.11168402972709	-0.9134012708909118	300
SMSEMOA	-23.731695578306528	-0.5932953880488556	300
SMSEMOA	-26.351446790568712	15.894625810423676	300
SMSEMOA	-25.264682968880805	8.984300705173972	300
SMSEMOA	-25.1470608321948	8.580712491260044	300
SMSEMOA	-25.277871825457435	8.985609486822076	300
SMSEMOA	-25.00376561272573	8.045062750484732	300
SMSEMOA	-25.293977919569663	12.43477112664684	300
SMSEMOA	-24.107093017222393	1.821433163948396	300
SMSEMOA	-24.313239181924942	7.3521417988110205	300
SMSEMOA	-24.444429168135823	7.757900803537299	300
SMSEMOA	-21.783369830494934	-3.5312010675490413	300
SMSEMOA	-22.36652096898103	-3.416796872577759	300
SMSEMOA	-22.797815173069356	-0.8327201939517241	300
SMSEMOA	-23.69881367269072	-0.2808615321300887	300
SMSEMOA	-25.38871437876435	16.96705833667138	300
SMSEMOA	-26.251668724470047	30.175125952075085	300
SMSEMOA	-26.04132991597593	24.108335426640767	300
SMSEMOA	-25.86295361778796	23.526198585688437	300
SMSEMOA	-25.603982799433542	17.413799123311144	300
SMSEMOA	-25.090240805979953	10.403119745354548	300
SMSEMOA	-25.259262473068375	11.950620499368686	300
SMSEMOA	-24.695635714258756	10.221054538161198	300
SMSEMOA	-23.779420687841142	3.6646737249478476	300
SMSEMOA	-24.057876080925634	6.181484155282647	300
SMSEMOA	-24.33758313809452	8.196171831895622	300
SMSEMOA	-21.984590615061755	-1.6970990626751385	300
SMSEMOA	-22.182314946835106	-1.5720461698125945	300
SMSEMOA	-21.83213997274064	-1.9367057834980177	300
SMSEMOA	-19.980090862252432	-2.6820196587340326	300
SMSEMOA	-21.365249513212436	-2.005408924520512	300
SMSEMOA	-22.366439154517444	-0.5770348011488988	300
SMSEMOA	-23.036907742342073	-0.016623397928269057	300
SMSEMOA	-23.114984295316614	1.1178536915263697	300
SMSEMOA	-22.454586959574904	-0.09482148161945769	300
SMSEMOA	-26.010485044082806	27.393927068181032	300
SMSEMOA	-25.46458385724717	19.671988931543083	300
SMSEMOA	-25.523847409228523	21.734007874543806	300
SMSEMOA	-25.341899628703512	19.408599421869685	300
SMSEMOA	-25.22110366880102	18.244251025028362	300
SMSEMOA	-25.120677771206005	12.079684146933658	300
SMSEMOA	-24.585357112354057	10.649724703469012	300
SMSEMOA	-23.740770822779982	4.40612640634375	300
SMSEMOA	-23.794823333528353	8.060774949840834	300
SMSEMOA	-23.962606266430562	9.121214920283542	300
SMSEMOA	-24.26737992460815	10.309684664258572	300
SMSEMOA	-21.864802861029368	-0.9920940325869805	300
SMSEMOA	-21.816423747711692	-1.9101303584852327	300
SMSEMOA	-22.857178408328675	2.2762817319151933	300
SMSEMOA	-22.751990529992185	1.8828971608695024	300
SMSEMOA	-22.958124185775485	3.1777552893657646	300
SMSEMOA	-21.977285828111334	-0.0255014506873934	300
SMSEMOA	-22.07812067012819	0.5455611257128457	300
SMSEMOA	-22.049898812888657	0.1810467370861737	300
SMSEMOA	-25.279758724345534	20.387238935999118	300
SMSEMOA	-25.097071456562702	14.319832617342172	300
SMSEMOA	-24.901989428773977	12.449363472250347	300
SMSEMOA	-24.585043254326674	11.778717170832387	300
SMSEMOA	-23.578891905122585	4.932115200275745	300
SMSEMOA	-23.16337717328672	4.855265746319754	300
SMSEMOA	-23.758314577281418	9.78130997013755	300
SMSEMOA	-24.13929283814283	10.35468465500847	300
